-4.836170,3.267641
-4.988991,3.334454
-4.812421,3.349666
-4.371544,3.156549
-4.533900,3.232742
-4.138279,3.031004
-3.764242,2.803457
-3.813494,2.939519
-3.946707,3.022841
-4.091376,2.896526
-4.060836,2.944483
-3.949083,2.856729
-4.071623,2.935507
-3.970674,2.932981
-3.678123,2.839478
-3.621944,2.896526
-3.356675,2.727541
-3.343878,2.747412
-4.019220,3.006038
-3.919255,3.007321
-3.985426,2.931458
-3.776152,2.939519
-3.817688,2.925312
-3.827625,2.934498
-3.830200,2.962369
-3.749201,2.850646
-3.765724,2.942504
-3.650298,2.863917
-3.653297,2.879096
-3.817036,2.870404
-3.751486,2.846955
-3.652589,2.847573
-3.651481,2.811575
-3.449582,2.790285
-3.502622,2.795880
-4.074500,2.984977
-4.101371,3.021603
-3.653612,2.846337
-3.667979,2.813581
-3.432985,2.789581
-3.421147,2.777427
-2.776004,2.477121
-2.739835,2.170262
-3.703199,2.641474
-2.903631,2.525045
-3.443352,2.647383
-3.578948,2.681241
-3.286170,2.708421
-3.596565,2.748963
-3.597368,2.678518
-3.357715,2.660865
-3.243277,2.683947
-3.475839,2.685742
-3.476325,2.693727
-3.726510,2.687529
-3.356292,2.663701
-3.576926,2.700704
-3.352500,2.689309
-3.566986,2.710117
-3.442968,2.721811
-3.771064,2.694605
-3.592137,2.663701
-3.557012,2.673021
-3.738194,2.670246
-3.786315,2.706718
-3.636889,2.697229
-3.741018,2.682145
-3.733931,2.691965
-3.665380,2.715167
-3.603290,2.716003
-3.765504,2.698101
-3.474930,2.665581
-3.487189,2.728354
-3.502066,2.679428
-3.569983,2.667453
-3.450462,2.661813
-3.532284,2.698101
-3.683038,2.632457
-3.529136,2.668386
-3.325160,2.664642
-3.438237,2.659916
-3.566045,2.687529
-3.352822,2.632457
-4.058240,2.853090
-4.235156,3.003891
-4.203578,3.026533
-4.094543,3.047275
-4.163162,3.020361
-4.075734,2.918030
-3.520223,2.824126
-4.414752,3.263873
-4.108996,2.918030
-3.979464,3.016616
-4.409528,3.032619
-3.899066,2.912222
-3.945040,2.969416
-4.096720,2.911690
-4.016697,2.933487
-3.986551,2.942504
-4.599415,3.214314
-4.420202,3.118926
-4.211614,3.059185
-4.100838,3.062582
-4.094278,2.910091
-3.691419,2.887617
-4.028781,3.000868
-4.109478,2.916454
-4.090641,2.995196
-4.192112,3.011993
-4.072128,2.929419
-3.444242,2.733197
-4.028623,2.933487
-4.117178,2.970812
-3.803006,2.863917
-4.346329,3.108565
-4.239527,3.063709
-4.201638,3.038620
-4.232012,2.965202
-4.337466,3.286681
-4.448006,3.062958
-4.317736,2.900913
-4.211670,2.895423
-4.107818,2.973128
-4.438655,3.255514
